Attrition_Dummy,Age,EnvironmentSatisfaction,Gender_Male,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,22,3,1,2,1,3,3894,5,3,3,4,3,2,2,1,2
0,39,3,0,3,1,3,3755,1,3,1,8,3,8,3,0,7
1,18,2,1,3,1,2,1878,1,3,4,0,3,0,0,0,0
0,40,3,1,1,3,1,10932,3,3,3,20,3,1,0,0,1
0,26,1,1,3,2,3,4306,5,3,1,8,3,0,0,0,0
0,37,2,0,3,3,4,7491,4,3,4,12,4,6,5,1,2
1,32,4,1,4,2,3,4707,8,3,4,6,3,4,2,1,2
0,38,3,0,3,2,3,9824,3,3,3,18,3,1,0,0,0
0,26,1,1,3,2,2,6272,1,4,4,6,4,5,3,1,4
0,25,2,1,3,1,3,2096,1,3,3,7,3,7,4,0,6
1,24,1,0,3,1,3,2886,1,3,4,6,3,6,3,1,2
0,35,1,1,2,2,4,3681,4,3,4,9,3,3,2,0,2
0,43,2,1,2,4,4,16627,4,3,3,21,2,1,0,0,0
0,43,4,1,3,2,3,5679,3,3,2,10,3,8,7,4,7
0,32,1,0,3,2,4,6322,1,3,4,6,2,6,4,0,5
0,26,3,0,3,1,4,2659,1,3,3,3,3,3,2,0,2
0,37,3,1,3,3,3,9434,1,3,3,10,3,10,7,7,8
0,33,3,1,3,2,4,7725,3,4,3,15,1,13,11,4,7
0,27,1,1,2,1,4,2045,0,3,4,5,3,4,2,1,1
1,20,4,1,3,1,3,1009,1,3,4,1,3,1,0,1,1
0,25,4,1,4,2,2,4851,0,4,3,4,3,3,2,1,2
0,38,4,0,2,2,4,4028,0,4,1,8,3,7,7,0,5
1,24,1,0,3,2,3,4577,9,3,1,4,3,2,2,2,0
1,50,2,1,3,2,3,6796,3,3,1,18,3,4,3,1,3
0,32,3,0,3,3,4,11159,3,3,4,10,3,7,7,7,7
0,40,4,1,2,3,1,10475,5,4,3,20,3,18,13,1,12
0,53,3,1,4,4,3,14814,3,3,3,32,3,5,1,1,3
0,27,4,1,3,3,1,8793,1,4,3,9,2,9,7,1,7
0,41,4,1,2,5,3,19189,1,3,2,22,3,22,7,2,10
1,28,1,0,1,1,2,2216,7,3,4,10,3,7,7,3,7
0,38,3,0,3,3,3,7861,4,3,4,10,4,1,0,0,0
0,30,3,1,3,2,4,5304,7,4,4,10,2,8,7,7,7
0,27,4,0,2,2,1,6811,8,3,1,9,1,7,6,0,7
0,29,4,1,3,1,2,2297,1,3,4,2,3,2,2,2,2
0,35,4,0,3,2,1,5093,2,3,1,16,4,1,0,0,0
0,38,4,1,3,1,3,3057,6,3,2,6,1,1,0,0,1
0,34,2,0,3,2,1,5121,3,3,3,7,3,0,0,0,0
0,52,3,1,2,4,1,16856,1,3,1,34,4,34,6,1,16
1,33,4,1,3,1,4,2686,1,3,3,10,2,10,9,7,8
0,25,3,0,3,2,4,6180,1,4,2,6,2,6,5,1,4
0,23,1,1,4,1,3,3505,1,3,4,2,3,2,2,0,2
0,27,3,1,3,2,4,4342,0,3,2,5,3,4,2,1,1
0,37,4,0,3,1,1,2782,0,3,2,6,2,5,3,4,3
0,40,3,0,4,2,2,4244,1,4,4,8,3,8,7,3,7
0,42,2,1,3,5,4,18430,1,3,2,24,2,24,7,14,9
0,52,4,0,3,2,3,3149,8,4,2,9,3,5,2,1,4
0,50,3,1,3,4,3,17639,5,3,4,30,3,4,3,0,3
1,33,1,0,3,2,1,5324,5,3,3,6,3,3,2,0,2
0,30,3,0,2,2,4,6877,5,4,2,12,2,0,0,0,0
0,38,1,1,2,2,1,6288,2,3,3,13,2,4,3,1,2
1,55,3,1,3,2,4,5160,4,3,3,12,2,9,7,7,3
0,43,2,1,3,4,1,17159,6,4,3,22,3,4,1,1,0
0,27,3,1,2,3,4,12808,1,3,2,9,3,9,8,0,8
0,27,4,1,3,1,4,1706,1,3,3,0,2,0,0,0,0
0,52,3,0,2,4,4,13826,3,4,3,31,3,9,8,0,0
0,37,4,1,2,2,3,6334,4,3,4,9,3,1,0,0,0
0,28,2,1,2,1,4,4936,1,3,4,6,3,5,1,0,4
0,42,2,1,3,1,4,2515,5,3,4,8,3,2,1,2,2
0,32,4,1,3,1,4,2314,0,3,2,4,3,3,0,0,2
0,25,3,1,2,2,1,4256,1,3,1,5,4,5,2,0,3
0,24,1,1,2,1,4,3162,0,3,4,6,2,5,2,3,4
0,42,3,0,4,2,4,5231,2,3,2,17,2,5,3,1,3
0,43,4,0,3,2,4,5562,4,3,2,12,2,5,2,2,2
1,22,2,0,3,2,3,4171,0,3,1,4,4,3,2,0,2
0,35,4,0,3,2,4,4014,1,4,4,10,1,10,6,0,7
0,36,2,1,3,1,4,4678,2,3,3,8,3,6,2,0,1
0,26,3,1,2,2,1,4294,1,3,2,7,3,7,7,0,7
0,41,4,1,3,1,1,4721,2,3,3,20,3,18,13,2,17
1,36,3,1,2,3,4,10325,1,3,1,16,3,16,7,3,7
0,53,3,1,3,4,3,14852,6,3,3,22,4,17,13,15,2
0,38,3,0,3,2,4,5666,1,3,2,6,3,5,3,1,3
0,47,3,1,4,2,3,5067,1,3,3,20,4,19,10,2,7
1,31,3,1,2,1,1,2321,0,4,1,4,3,3,2,1,2
0,33,4,1,3,4,3,17444,1,3,4,10,3,10,8,6,0
1,29,4,0,2,1,1,2404,6,4,3,3,3,0,0,0,0
1,30,1,0,3,1,3,2132,4,3,2,7,3,5,2,0,1
0,38,3,1,3,1,3,2684,0,3,2,3,2,2,1,0,2
0,24,4,0,2,2,3,4377,1,3,2,5,3,4,2,3,2
1,35,3,1,2,1,2,3743,1,4,4,5,1,4,2,0,2
0,31,3,0,3,2,1,4148,1,3,3,4,3,4,3,0,3
0,48,3,1,2,3,3,10999,7,3,2,27,3,15,11,4,8
0,55,3,1,3,2,2,6385,3,3,4,17,3,8,7,6,7
0,44,4,0,4,4,4,13320,3,3,3,23,3,12,11,11,11
0,39,4,0,3,3,1,10880,1,3,3,21,3,21,6,2,8
0,33,2,0,2,1,4,2342,0,3,4,3,2,2,2,2,2
0,34,2,1,4,2,4,9725,0,3,4,16,2,15,1,0,9
0,59,2,1,3,3,4,11904,3,3,3,14,1,6,4,0,4
0,45,2,1,3,1,2,2177,1,3,1,6,3,6,3,0,4
0,26,1,0,2,1,3,2007,1,3,3,5,3,5,3,1,3
1,20,4,0,3,1,4,2323,1,3,2,2,3,2,2,0,2
0,26,1,1,2,1,1,3955,1,3,1,6,3,5,3,1,3
0,30,3,1,3,2,1,9957,0,3,3,7,2,6,2,0,2
0,38,3,0,2,3,3,8823,0,3,1,20,2,19,9,1,9
0,40,1,1,3,3,4,10322,4,4,4,14,3,11,10,11,1
0,34,3,1,2,1,4,2979,3,3,4,6,3,0,0,0,0
0,38,3,1,2,3,3,8740,0,3,2,9,3,8,7,2,7
1,39,1,1,3,4,4,12169,7,3,4,21,3,18,7,11,5
0,35,4,1,3,2,4,4968,1,3,4,5,3,5,2,0,2
0,28,3,1,2,1,3,2703,1,3,4,3,3,3,1,0,2
1,31,3,1,3,1,3,2610,1,3,3,2,2,2,2,2,2
1,42,3,1,3,4,1,13758,0,3,2,22,2,21,9,13,14
0,34,4,1,2,2,1,5343,0,4,3,14,3,13,9,4,9
0,35,4,1,2,1,4,2376,1,3,2,2,4,2,2,2,2
1,43,1,0,1,2,3,5346,8,3,2,7,2,4,3,1,3
0,29,2,0,3,1,4,3131,1,3,1,10,3,10,8,0,8
0,45,1,0,3,1,3,4477,4,3,3,7,2,3,2,0,2
0,46,3,0,3,4,1,17048,8,4,1,28,3,26,15,15,9
0,44,4,1,1,1,3,2290,2,3,4,6,3,0,0,0,0
0,33,2,1,3,1,3,3600,1,3,4,5,3,5,4,1,4
0,33,2,0,3,2,3,4539,1,3,1,10,2,10,7,0,1
0,30,3,1,3,2,3,3491,1,3,1,10,2,10,7,8,9
0,44,4,1,3,2,4,4541,1,4,2,20,3,20,11,13,17
0,20,3,1,4,1,4,2678,1,3,4,2,3,2,1,2,2
0,42,4,1,4,2,1,6272,7,3,1,10,4,4,3,0,3
0,60,2,1,4,2,4,5220,0,3,2,12,3,11,7,1,9
0,32,4,0,3,2,3,4998,4,3,4,10,3,8,7,0,7
0,42,1,0,3,3,1,13191,3,3,3,20,3,1,0,0,0
0,54,4,0,3,3,3,10502,7,3,1,33,1,5,4,1,4
0,31,3,0,2,2,1,6812,1,3,2,10,3,10,9,1,8
0,27,1,1,3,1,3,2517,1,3,2,5,3,5,3,0,3
0,48,4,1,2,5,4,18265,6,3,3,25,4,1,0,0,0
0,33,4,1,4,3,3,8380,0,3,4,10,3,9,8,0,8
0,28,4,1,3,1,3,2154,0,3,3,5,2,4,2,0,2
0,34,3,1,2,2,2,4490,4,3,4,14,4,10,9,1,8
1,44,1,0,3,3,4,7978,1,3,4,10,3,10,7,0,5
0,58,1,1,3,1,3,2372,1,3,4,2,3,2,2,2,2
0,30,1,0,2,2,4,4627,0,3,1,10,3,9,2,6,7
0,50,4,0,3,4,1,16880,4,3,2,25,3,3,2,1,2
0,41,3,1,1,2,2,6151,1,3,1,19,3,19,2,11,9
1,31,4,0,3,1,2,2302,1,3,1,3,4,3,2,2,2
1,44,1,1,3,1,1,2362,4,3,3,10,4,3,2,1,2
0,42,3,1,3,4,3,17861,0,3,4,21,2,20,8,2,10
0,25,4,1,3,1,4,3669,3,3,3,7,2,3,2,1,2
0,51,4,0,2,4,2,13142,3,3,2,29,2,5,2,0,3
0,35,4,0,2,2,4,5363,0,3,2,10,3,9,7,0,0
0,27,4,1,1,2,4,5071,3,4,2,8,3,6,2,0,0
1,55,1,1,4,4,3,13695,6,3,3,24,2,19,7,3,8
0,34,1,0,2,1,3,2029,1,4,3,5,3,5,4,0,0
0,40,2,0,4,2,3,6377,5,4,2,15,3,12,11,11,8
0,38,4,1,4,1,3,2610,1,3,4,4,3,4,2,0,3
0,28,3,1,2,2,1,4724,1,3,3,5,3,5,3,0,4
1,31,4,1,3,2,3,6179,1,3,4,10,2,10,2,6,7
0,37,3,1,3,1,3,2996,7,3,4,8,3,6,4,1,3
0,25,1,1,4,2,3,6232,2,3,2,6,2,3,2,1,2
0,37,1,0,3,1,3,3629,4,3,1,8,3,3,2,0,2
0,26,3,1,4,1,1,3578,0,3,4,8,3,7,7,0,7
0,29,2,1,2,3,1,7988,1,3,1,10,2,10,9,0,9
1,49,1,1,2,2,1,4284,3,4,1,20,3,4,3,1,3
0,36,1,0,3,2,2,9278,3,3,4,15,3,5,4,0,1
0,30,4,0,3,2,1,4779,7,3,2,8,3,3,2,0,2
1,25,1,1,2,1,1,4400,3,3,1,6,3,3,2,2,2
0,37,3,1,4,1,3,3500,0,3,1,7,1,6,5,1,3
0,56,1,0,3,1,1,2066,2,4,4,5,4,3,2,1,0
0,24,4,0,3,2,3,4162,1,3,3,5,3,5,4,0,3
1,31,3,0,4,3,2,7446,1,3,1,10,3,10,8,4,7
0,45,2,1,1,3,1,10851,2,3,2,24,3,7,7,0,7
1,31,2,1,3,1,4,3722,6,3,3,7,1,2,2,2,2
0,48,3,1,3,2,1,5486,4,3,1,15,3,2,2,2,2
0,49,1,1,3,2,3,6651,2,3,2,20,2,3,2,1,2
0,33,4,1,3,2,1,4373,0,3,1,5,3,4,3,0,3
0,30,4,1,3,2,3,5301,8,3,3,4,2,2,1,2,2
0,30,3,1,3,1,3,1274,1,3,2,1,2,1,0,0,0
1,28,1,1,3,1,3,2909,3,3,4,5,4,3,2,1,2
1,29,1,0,3,2,2,5765,5,3,1,7,1,5,3,0,0
1,24,2,1,3,1,1,3172,2,3,3,4,2,0,0,0,0
0,24,4,0,3,1,2,2033,1,3,3,1,3,1,0,0,0
0,47,3,0,3,2,3,4591,3,3,3,11,2,5,4,1,2
0,28,1,1,2,1,3,1563,1,3,4,1,1,1,0,0,0
0,28,3,1,1,2,2,6549,1,3,2,8,2,8,6,1,7
0,33,4,1,3,2,3,6388,2,3,1,14,3,0,0,0,0
0,23,1,1,3,2,3,2272,0,3,2,5,3,4,3,1,2
0,34,4,1,2,3,3,7083,1,3,4,10,3,10,9,8,6
0,50,3,1,1,4,4,14411,1,3,4,32,3,32,6,13,9
0,34,2,1,3,1,3,2308,0,4,2,12,3,11,10,5,7
0,37,1,1,3,2,4,4285,1,3,1,10,3,10,8,3,7
0,29,3,0,1,2,1,9715,3,3,3,9,3,7,7,0,7
0,24,3,1,2,1,1,2296,0,3,2,2,3,1,1,0,0
0,36,2,0,3,2,3,6815,6,3,1,15,3,1,0,0,0
0,35,1,0,3,2,3,6142,3,3,3,10,3,5,2,0,4
0,50,3,1,3,5,3,19331,4,3,3,27,3,1,0,0,0
0,23,4,1,4,1,3,2073,2,3,4,4,3,2,2,2,2
0,36,1,1,4,2,1,5562,3,3,4,9,3,3,2,0,2
0,35,3,1,2,1,4,2690,1,3,4,1,2,1,0,0,1
0,46,4,1,4,4,1,17567,1,3,2,27,1,26,0,0,12
0,34,3,1,4,2,4,4724,1,3,1,9,3,9,7,7,2
0,39,2,1,3,2,1,5377,2,3,4,10,3,7,7,7,7
0,27,4,1,2,1,1,4066,1,3,1,7,3,7,7,0,7
0,28,2,0,1,2,1,4877,0,4,2,6,2,5,3,0,0
0,39,3,1,2,2,3,3069,0,3,4,11,3,10,8,0,7
0,35,3,0,3,2,3,4148,1,3,4,15,3,14,11,2,9
0,38,4,0,2,3,3,7756,3,3,4,10,4,5,4,0,2
0,27,4,1,3,1,4,2580,2,3,3,6,2,4,2,1,2
0,39,4,1,3,2,2,5295,4,4,3,7,3,5,4,1,0
0,49,1,0,3,4,2,16413,3,3,2,27,3,4,2,1,2
1,35,4,1,3,2,4,4581,3,4,1,13,4,11,9,6,7
0,29,1,1,2,2,2,4187,1,3,2,10,2,10,0,0,9
0,47,2,0,4,4,2,15972,6,3,3,29,3,3,2,1,2
0,20,4,1,3,1,1,2728,1,3,1,2,3,2,2,0,2
0,36,1,1,3,2,3,5347,6,3,2,10,2,3,2,0,2
0,53,2,1,4,3,4,7005,3,3,3,11,3,4,3,1,2
1,32,4,1,3,1,2,1393,1,3,1,1,3,1,0,0,0
0,26,4,1,3,1,4,2570,1,4,3,7,3,7,7,5,7
0,33,2,1,4,1,2,2028,1,3,4,14,3,14,11,2,13
0,47,3,1,3,2,2,4978,7,3,4,4,1,1,0,0,0
0,46,3,1,3,3,4,10368,4,3,2,13,2,10,6,0,3
0,31,4,0,3,2,4,5238,2,4,4,9,2,5,4,1,4
0,32,4,1,1,3,3,9610,3,3,3,10,1,4,3,0,2
1,29,2,0,1,1,2,2760,1,3,3,2,3,2,2,2,2
0,29,4,1,4,2,3,6294,8,3,4,10,4,3,2,0,2
1,31,1,1,3,3,3,8161,2,3,1,10,3,1,0,0,0
0,53,1,0,2,4,3,12965,4,4,4,27,2,3,2,0,2
0,34,4,0,1,2,4,6029,5,3,1,6,3,2,2,2,2
0,37,2,1,2,2,2,4189,1,3,1,5,3,5,2,0,3
0,36,4,1,3,3,1,8321,7,3,4,15,3,12,8,5,7
1,35,3,1,3,2,4,5813,1,3,4,10,3,10,7,7,7
0,33,4,1,4,1,1,3143,6,3,2,14,3,10,8,7,6
0,39,3,1,3,2,4,4127,2,3,4,7,3,2,1,2,2
0,30,1,0,3,3,3,9667,9,3,2,9,3,7,7,0,2
0,58,2,1,3,4,2,16291,4,4,4,37,2,16,9,14,14
0,28,3,0,3,1,1,3591,1,4,3,3,3,3,2,1,2
0,58,1,1,3,4,3,15787,2,3,2,23,3,2,2,2,2
0,45,3,0,3,2,3,5154,4,4,2,10,4,8,7,5,7
0,36,4,0,3,2,2,6962,4,4,4,15,3,1,0,0,0
0,27,4,0,3,1,4,2379,0,3,3,6,2,5,4,0,2
0,29,4,1,3,1,4,3812,1,3,2,11,4,11,8,3,10
0,46,4,1,3,3,4,8578,3,3,3,12,2,9,8,4,7
0,42,4,1,3,1,3,3968,4,3,4,8,3,0,0,0,0
1,32,3,1,2,2,2,9907,7,3,3,7,2,2,2,2,2
0,27,2,0,2,2,3,3540,1,4,4,9,3,9,8,5,8
0,29,4,1,2,1,2,2804,1,3,4,1,3,1,0,0,0
0,28,2,0,3,1,2,2856,1,3,4,1,3,1,0,0,0
0,31,2,1,3,2,3,4197,1,3,1,10,3,10,8,0,2
0,35,4,0,2,2,2,4788,0,3,4,4,3,3,2,0,2
0,36,2,1,2,2,4,3886,1,4,4,10,2,10,1,0,8
0,26,2,0,2,1,3,2933,1,3,3,1,2,1,0,1,0
0,27,1,0,4,2,3,6500,0,3,2,9,2,8,7,0,7
0,48,4,0,3,4,4,17174,3,3,2,24,3,22,17,4,7
0,42,3,1,3,3,1,13348,9,3,2,18,4,13,7,5,7
0,34,4,0,2,2,4,8103,3,3,3,9,2,4,2,0,1
0,27,2,1,3,1,2,2226,1,3,3,6,2,5,3,1,2
1,28,4,0,3,2,3,9854,3,3,4,6,3,2,0,2,2
0,38,4,0,2,2,2,2133,1,3,3,20,3,20,11,0,7
0,42,2,1,3,2,4,5087,3,3,3,14,3,0,0,0,0
1,27,1,0,2,1,2,2863,1,3,1,1,3,1,0,0,0
0,34,4,1,3,3,3,8628,1,3,3,9,2,8,7,1,1
0,29,1,1,3,2,1,5373,0,3,1,6,2,5,3,0,2
1,28,3,1,2,1,4,2367,5,3,1,6,2,4,1,0,3
0,38,1,1,2,1,1,2858,4,3,1,20,2,1,0,0,0
0,35,3,0,3,2,4,5204,1,3,4,10,3,10,8,0,9
0,24,2,1,2,2,3,4617,1,3,2,4,2,4,3,1,2
0,40,4,0,3,2,3,6323,1,3,1,10,4,10,9,9,4
0,31,1,1,3,1,3,3067,0,3,3,3,3,2,2,1,2
0,42,4,1,3,2,1,5410,6,3,3,9,2,4,3,1,2
0,47,3,0,3,3,2,11957,0,3,1,14,1,13,8,5,12
0,39,1,1,3,2,4,4108,7,3,1,18,3,7,7,1,7
0,37,3,0,4,3,4,13744,1,4,1,16,3,16,11,6,8
0,36,1,0,2,3,4,7644,0,3,3,10,3,9,7,3,4
0,56,3,1,3,2,3,6306,1,4,1,13,2,13,12,1,9
0,34,4,0,2,2,3,6712,1,4,4,8,3,8,7,1,7
0,35,3,0,1,1,4,2977,1,3,4,4,3,4,3,1,1
0,29,4,1,2,2,2,4025,4,3,1,10,3,4,3,0,3
0,49,4,1,2,2,2,5390,2,3,4,17,2,9,6,0,8
0,34,2,1,4,2,3,4404,2,3,1,6,4,4,3,1,2
