pid,level,level_num,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,PMmtg,HRmtg,Mktmtg,Opmtg,GAmtg,Salesmtg,RDmtg,PMemail,HRemail,Mktemail,Opemail,GAemail,Salesemail,RDemail,Dir_level,Exc_level,JrIc_level,Mgr_level,SrExec_level,SrIc_level,Sprt_level,C_region,E_region,N_region,S_region,SW_region,W_region,GA_dept,HR_dept,Mkting_dept,Ops_dept,PM_dept,RD_dept,Sales_dept,attainquota
116,Manager,4,G&A,Central,10104,1339,0.92291415,7204,1182,2900,157,35,45,112,169,451,172,198,65,362,402,746,4147,612,870,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
117,Support,1,G&A,South,2714,9,0.21785519,2342,7,372,2,0,0,0,2,5,0,0,0,0,0,1259,1058,0,25,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
119,Manager,4,R&D,Central,1610,1340,0.29960468,1562,1216,48,124,43,41,105,225,224,137,441,25,15,134,488,142,6,752,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
120,Manager,4,Operations,Central,3065,0,0.30468702,2741,0,324,0,0,0,0,0,0,0,0,201,47,34,1540,199,213,507,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
123,Support,1,G&A,Central,4757,1094,0.46285743,4003,983,754,111,28,37,98,188,289,135,208,127,160,704,1153,1119,238,502,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
124,Manager,4,G&A,South,4219,193,0.28517619,3793,170,426,23,0,0,0,59,61,10,40,0,0,0,904,2750,52,87,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
128,Senior IC,3,G&A,Central,2607,2745,0.37521157,2417,2330,190,415,49,47,98,677,816,174,469,22,55,23,664,1507,16,130,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
135,Support,1,HR,Central,5492,127,0.59840077,3758,103,1734,24,2,44,8,10,19,6,14,18,1402,390,669,876,199,204,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
142,Manager,4,G&A,Central,8562,748,0.80563992,6430,677,2132,71,17,66,58,116,217,87,116,40,537,341,940,2934,1083,555,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
145,Junior IC,2,Operations,West,8207,1056,0.17617552,6027,764,2180,292,70,0,24,260,20,1,389,510,18,57,1864,96,8,3474,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
147,Senior IC,3,Operations,West,2541,513,0.10218003,2397,318,144,195,30,0,20,105,11,0,152,143,4,2,831,18,9,1390,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
150,Director,5,Operations,Central,14183,7150,0.69993347,12709,5551,1474,1599,330,68,470,2277,727,454,1225,616,113,324,9161,1040,1022,433,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
161,Junior IC,2,G&A,Central,2405,537,0.19614288,2403,488,2,49,13,17,46,90,156,75,91,0,7,76,542,1664,110,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
162,Junior IC,2,Operations,West,1183,0,0.059344858,773,0,410,0,0,0,0,0,0,0,0,0,2,0,734,4,9,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
170,Manager,4,G&A,South,5332,0,0.33598015,4774,0,558,0,0,0,0,0,0,0,0,0,8,4,951,3723,8,80,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
184,Manager,4,Operations,Central,8797,1078,0.66872084,5225,945,3572,133,31,28,122,243,207,129,185,86,465,842,1322,1730,355,425,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
185,Senior IC,3,Operations,Central,4457,0,0.15065913,3745,0,712,0,0,0,0,0,0,0,0,21,1,4,2432,242,0,1045,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
192,Manager,4,Operations,Central,10710,3849,0.48088241,7732,3068,2978,781,218,33,235,1417,475,252,438,370,115,270,5114,1152,630,81,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
197,Junior IC,2,Operations,Central,2347,1539,0.22326672,1883,1343,464,196,32,26,112,612,234,127,200,1,5,18,1160,659,4,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
204,Manager,4,Operations,South,5549,13,0.28260383,5429,13,120,0,0,0,0,8,5,0,0,51,0,0,4903,389,4,82,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
219,Manager,4,Operations,South,7873,2176,0.25316432,7097,2082,776,94,0,0,0,2005,1,6,70,13,0,0,5888,1169,0,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
223,Junior IC,2,Product Management,Central,1837,669,0.23395185,1439,582,398,87,49,20,77,128,123,71,114,197,7,88,640,63,287,157,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
227,Director,5,Operations,Central,5571,2972,0.32458058,3987,2542,1584,430,167,39,189,1168,498,275,206,235,26,77,2512,629,352,156,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
246,Junior IC,2,Operations,South,12710,1102,0.25398922,6264,753,6446,349,0,0,0,502,46,10,195,1,0,0,3607,285,120,2251,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
250,Junior IC,2,Operations,South,4483,2454,0.20276666,3719,1950,764,504,40,0,0,1167,52,10,681,3,0,130,2138,37,9,1402,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
256,Manager,4,G&A,South,4441,1917,0.35167834,4235,1668,206,249,1,0,0,864,706,31,66,0,0,7,1215,2940,0,73,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
258,Director,5,G&A,Central,5888,2258,0.52171636,5888,1944,0,314,29,72,103,259,1153,144,184,2,128,52,270,5339,60,37,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
259,Manager,4,G&A,Central,3603,1155,0.30697623,3059,1031,544,124,18,26,50,247,512,68,110,7,31,0,1065,1944,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
264,Manager,4,Operations,South,11033,467,0.30166629,8095,401,2938,66,1,0,0,299,42,12,47,0,0,0,7177,759,5,154,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
266,Manager,4,Operations,South,4691,2065,0.23076002,4243,1579,448,486,0,0,0,1202,140,37,200,0,0,2,3758,293,47,143,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
267,Senior IC,3,Operations,Central,2313,940,0.17619959,2023,777,290,163,22,20,73,256,146,115,145,75,2,28,1339,347,65,167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
268,Director,5,R&D,Central,10669,5949,0.4781113,8527,4450,2142,1499,361,26,200,936,301,94,2532,522,158,58,1050,375,253,6111,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
277,Junior IC,2,Operations,South,2166,888,0.25337562,2138,766,28,122,1,0,0,679,67,2,17,8,4,5,1593,470,0,58,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
279,Manager,4,Operations,South,3791,0,0.22884382,2865,0,926,0,0,0,0,0,0,0,0,3,0,50,1866,867,54,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
283,Executive,6,Operations,Central,2274,5181,0.23745209,2258,3733,16,1448,36,7,110,1847,811,163,759,6,35,25,1567,521,37,67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
286,Manager,4,R&D,Central,3785,1239,0.14495398,2849,708,936,531,2,0,123,204,24,101,254,8,0,282,569,169,360,1461,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
287,Manager,4,Operations,West,1396,146,0.051690344,1396,100,0,46,0,0,2,57,0,2,39,0,8,26,1127,37,33,165,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
295,Junior IC,2,G&A,Central,5552,1080,0.47811908,3654,980,1898,100,28,35,106,178,252,150,231,40,111,611,571,1436,397,488,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
299,Support,1,R&D,South,577,273,0.087963641,545,246,32,27,0,0,0,79,2,0,165,8,0,0,221,18,6,292,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
309,Support,1,Operations,Central,2091,2601,0.32808575,1891,2047,200,554,126,68,246,698,411,272,226,3,194,36,1210,382,39,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
310,Director,5,Product Management,Central,2401,1203,0.34661061,1819,1042,582,161,107,35,108,197,208,169,218,299,56,112,521,154,481,196,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
313,Junior IC,2,Operations,South,9951,1664,0.29861614,9551,1630,400,34,0,0,0,1532,20,3,75,12,0,35,9269,187,27,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
314,Junior IC,2,Operations,South,8547,1849,0.28072011,7377,1838,1170,11,0,0,0,1765,2,0,71,9,0,25,7229,91,9,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
317,Manager,4,G&A,Central,5137,1707,0.26385078,3657,1539,1480,168,28,32,167,341,582,161,228,0,32,93,166,3226,70,70,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
325,Manager,4,Operations,South,3018,1342,0.15860178,2652,1197,366,145,0,0,0,1014,136,18,29,13,0,0,2312,267,6,54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
328,Junior IC,2,Operations,South,7009,2811,0.31274232,6617,2781,392,30,0,0,0,2686,0,0,95,19,0,41,6365,136,14,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
329,Manager,4,Operations,Central,14268,0,0.42637265,10800,0,3468,0,0,0,0,0,0,0,0,444,273,192,6794,554,234,2309,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
341,Executive,6,Sales,Central,5499,4432,0.61452127,5499,3482,0,950,142,50,346,891,467,844,742,175,61,522,639,749,3236,117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,115.07752
344,Junior IC,2,Operations,South,1545,2050,0.083640218,1545,1416,0,634,10,0,0,835,67,11,493,7,0,4,712,44,3,775,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
346,Senior IC,3,Operations,South,3205,1395,0.18318816,2703,984,502,411,3,0,0,719,32,0,230,3,0,0,1921,132,0,647,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
348,Junior IC,2,R&D,South,4907,0,0.19217275,2597,0,2310,0,0,0,0,0,0,0,0,35,0,336,993,27,7,1199,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
363,Junior IC,2,Operations,South,6047,1340,0.21733023,4431,896,1616,444,76,0,22,484,168,106,40,167,0,63,3793,210,135,63,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
364,Director,5,Operations,Central,4018,3460,0.36888304,4018,2879,0,581,3,5,28,2145,445,89,164,15,2,124,2907,769,107,94,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
366,Junior IC,2,G&A,Central,14846,3998,0.63534713,11928,3145,2918,853,238,42,250,797,1081,340,397,298,69,144,1170,8805,809,633,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
368,Support,1,R&D,Central,947,1155,0.10511571,775,1023,172,132,21,29,71,178,137,115,472,13,53,0,62,53,0,594,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
372,Senior IC,3,Product Management,Central,5156,1156,0.46896449,3864,998,1292,158,108,23,210,145,158,124,230,677,50,1575,368,353,654,187,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
373,Manager,4,Operations,South,4654,606,0.16501099,3254,542,1400,64,0,0,0,470,38,10,24,9,0,0,3026,86,5,128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
374,Junior IC,2,Operations,South,8292,2389,0.29020163,7932,2383,360,6,0,0,0,2262,46,0,75,32,0,8,7687,174,5,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
381,Senior IC,3,Product Management,Central,6190,6064,0.58371204,6190,4756,0,1308,547,49,428,1336,438,321,1637,923,20,826,1555,195,652,2019,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
385,Junior IC,2,Operations,Central,1843,32,0.12245534,1593,30,250,2,0,0,0,30,0,0,0,21,1,14,1278,200,0,79,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
388,Senior IC,3,R&D,Central,6828,4419,0.29125509,4062,3552,2766,867,224,53,269,1018,283,175,1530,380,16,560,717,100,9,2280,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
391,Junior IC,2,Operations,South,2903,2013,0.26921731,2873,1770,30,243,0,0,1,1600,48,34,87,25,0,42,2549,158,57,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
395,Junior IC,2,Operations,South,11113,805,0.33507746,7421,677,3692,128,0,0,0,655,8,0,14,12,0,152,6649,311,162,135,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
397,Senior IC,3,Operations,Central,5349,0,0.30854949,4413,0,936,0,0,0,0,0,0,0,0,287,11,112,2874,680,371,78,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
409,Junior IC,2,Operations,Central,7814,0,0.7177456,5016,0,2798,0,0,0,0,0,0,0,0,141,238,771,1465,1467,377,557,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
411,Junior IC,2,R&D,Central,1741,2706,0.16823334,1439,2452,302,254,49,36,143,473,241,154,1356,189,42,30,137,150,1,890,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
417,Manager,4,G&A,Central,9856,1029,0.44904298,6666,815,3190,214,17,24,61,160,340,80,133,16,120,83,1863,3465,560,559,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
419,Manager,4,Operations,South,6405,312,0.18619092,3801,306,2604,6,0,0,0,263,43,0,0,1,0,22,3269,444,53,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
435,Junior IC,2,Operations,South,2776,824,0.21822502,2682,659,94,165,74,0,19,313,150,102,1,20,0,17,1724,742,139,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
444,Junior IC,2,Operations,West,2078,160,0.057722304,1148,145,930,15,0,0,0,145,0,0,0,0,9,0,1095,1,1,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
448,Support,1,G&A,Central,9961,1560,0.81727958,7563,1329,2398,231,28,46,121,183,711,99,141,38,303,139,687,5727,353,316,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
449,Support,1,G&A,Central,4754,1440,0.56424314,3520,1249,1234,191,34,60,126,203,443,140,243,7,218,53,469,2194,97,482,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
454,Support,1,Operations,Central,4353,585,0.21627067,2441,524,1912,61,14,16,48,153,105,65,123,10,23,15,2064,199,0,130,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
464,Manager,4,Operations,Central,4493,1187,0.42206651,4299,1093,194,94,23,31,70,535,186,98,150,49,68,53,3558,376,135,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
473,Director,5,Product Management,Central,10024,1631,0.58480173,7860,1295,2164,336,259,19,176,196,240,102,303,2127,639,1797,845,805,661,986,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
474,Senior IC,3,Product Management,Central,13064,0,0.60169607,10350,0,2714,0,0,0,0,0,0,0,0,2914,52,1819,1130,643,1113,2679,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
481,Junior IC,2,G&A,Central,6318,1976,0.54862374,5080,1643,1238,333,67,54,119,397,610,122,274,584,387,344,334,2775,410,246,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
483,Junior IC,2,G&A,South,3042,465,0.2476714,2260,406,782,59,0,0,0,120,281,0,5,0,2,3,934,1232,0,89,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
484,Director,5,Operations,Central,8486,1846,0.37460032,5158,1639,3328,207,0,12,1,570,920,42,94,0,91,4,1704,3193,51,115,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
487,Manager,4,Operations,West,1764,249,0.081228659,1764,208,0,41,0,0,0,208,0,0,0,0,82,0,1541,8,0,133,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
488,Director,5,Operations,West,2021,39,0.092504226,2021,36,0,3,0,1,0,35,0,0,0,0,229,10,1708,10,45,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
489,Junior IC,2,Operations,West,2617,505,0.054545376,1641,464,976,41,0,0,0,464,0,0,0,0,16,0,1561,0,8,56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
490,Manager,4,Operations,East,11286,0,0.41813394,9588,0,1698,0,0,0,0,0,0,0,0,22,0,549,7700,1001,259,57,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
491,Junior IC,2,Operations,South,5996,43,0.24008171,5428,43,568,0,0,0,0,31,10,1,1,0,0,2,5150,214,4,58,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
495,Manager,4,Operations,South,2584,1106,0.16209839,2514,958,70,148,0,0,0,702,143,25,88,24,0,0,2058,232,11,189,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
496,Support,1,G&A,South,2583,657,0.24991126,2415,601,168,56,1,0,0,376,193,10,21,4,0,7,1208,1168,0,28,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
498,Junior IC,2,G&A,South,5942,151,0.25265735,4992,145,950,6,0,0,0,30,115,0,0,15,0,4,2608,2179,0,186,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
505,Manager,4,Operations,Central,2838,584,0.25529203,2452,539,386,45,11,13,40,281,60,59,75,30,118,202,1358,577,141,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
515,Manager,4,Operations,Central,4694,1381,0.37605065,4162,1243,532,138,31,43,110,468,223,138,230,31,179,274,2715,736,149,78,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
518,Junior IC,2,G&A,Central,5620,3314,0.39305103,5104,2557,516,757,178,29,176,835,776,298,265,101,74,30,839,2991,99,970,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
519,Junior IC,2,Product Management,Central,14423,4879,0.47118086,11219,3552,3204,1327,280,31,587,995,421,271,967,881,34,1204,2782,569,1436,4313,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
520,Junior IC,2,Operations,East,10787,0,0.29607296,5951,0,4836,0,0,0,0,0,0,0,0,77,0,501,3356,338,169,1510,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
532,Director,5,R&D,Central,15026,0,0.43731284,12626,0,2400,0,0,0,0,0,0,0,0,835,100,131,652,765,347,9796,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
533,Manager,4,Operations,Central,4817,5062,0.3354674,3795,3560,1022,1502,161,58,280,1369,219,207,1266,58,110,33,2897,240,136,321,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
