expid,group_size,year,leader_country,mean_age,sd_age,tot_injury,tot_sherpas,tot_oxy,mean_oxy,tot_death,tot_tibetans,mean_highpt,tot_success,tot_disputed,tot_claimed,peakid,num_doctors,num_fem,success_rate,injury_rate,female_perc,percent_same_cit,decade,region,himal,heightm,mean_exp,max_exp,min_exp,sd_exp,mean_idv,sd_idv,mean_pdi,sd_pdi
AMAD01305,6,2001,USA,41.66666667,8.310635756,0,0,0,0,0,0,0.5,3,0,0,AMAD,0,0,0.5,0,0,1,2000,2,12,6814,1.5,4,1,1.224744871,NA,NA,NA,NA
AMAD01307,12,2001,Germany,34.25,8.181186844,0,0,0,0,0,0,0.666666667,8,0,0,AMAD,1,3,0.666666667,0,0.25,0.818181818,2000,2,12,6814,1.083333333,2,1,0.288675135,60.92857143,13.49338462,37.5,13.27084717
AMAD01308,3,2001,UK,35,13.85640646,0,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,2,4,1,1.732050808,NA,NA,NA,NA
AMAD01309,3,2001,New Zealand,42,12.28820573,1,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0.333333333,0,0.5,2000,2,12,6814,1.666666667,3,1,1.154700538,NA,NA,NA,NA
AMAD01310,7,2001,Switzerland,37.14285714,8.989411761,0,0,0,0,0,0,1,7,0,0,AMAD,0,2,1,0,0.285714286,0.833333333,2000,2,12,6814,1.142857143,2,1,0.377964473,63.125,13.38909471,38,10.915258
AMAD01311,15,2001,USA,40.33333333,9.88264472,3,0,0,0,0,0,0.6,9,0,0,AMAD,0,1,0.6,0.2,0.066666667,0.714285714,2000,2,12,6814,2,8,1,2.070196678,NA,NA,NA,NA
AMAD01312,5,2001,Austria,50,9.874208829,0,0,0,0,0,0,1,5,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,1.2,2,1,0.447213595,55,0,11,0
AMAD01313,7,2001,Switzerland,31.42857143,5.472876844,0,0,0,0,0,0,0.714285714,5,0,0,AMAD,0,3,0.714285714,0,0.428571429,1,2000,2,12,6814,1,1,1,0,68,0,34,0
AMAD01314,6,2001,Italy,32.33333333,3.141125064,0,0,0,0,0,0,0.666666667,4,0,0,AMAD,0,0,0.666666667,0,0,1,2000,2,12,6814,1.333333333,3,1,0.816496581,76,0,50,0
AMAD01315,4,2001,Czech Republic,37.5,8.020806277,0,0,0,0,0,0,0.75,0,0,0,AMAD,0,1,0,0,0.25,1,2000,2,12,6814,3.25,10,1,4.5,58,0,57,0
AMAD01316,6,2001,UK,38.5,6.804410334,1,0,0,0,0,0,0.833333333,0,0,0,AMAD,0,0,0,0.166666667,0,0.6,2000,2,12,6814,1.333333333,2,1,0.516397779,NA,NA,NA,NA
AMAD01317,3,2001,Australia,33.66666667,12.89702808,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,0,0.666666667,0,0,1,2000,2,12,6814,3,6,1,2.645751311,66,32.86335345,47.6,15.88395417
AMAD01401,8,2001,UK,44.625,5.475595206,0,0,0,0,0,0,0.25,2,0,0,AMAD,0,1,0.25,0,0.125,0.714285714,2000,2,12,6814,1.125,2,1,0.353553391,NA,NA,NA,NA
AMAD01402,3,2001,Japan,37,15.71623365,0,0,0,0,0,0,1,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,2.333333333,4,1,1.527525232,46,0,54,0
AMAD02102,6,2002,UK,32.83333333,3.430257522,0,0,0,0,0,0,0.166666667,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,1.166666667,2,1,0.40824829,NA,NA,NA,NA
AMAD02103,3,2002,Italy,43.33333333,5.686240703,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,0,0.666666667,0,0,1,2000,2,12,6814,7.333333333,18,2,9.237604307,76,0,50,0
AMAD02104,3,2002,Spain,29.66666667,2.081665999,0,0,0,0,0,0,0.666666667,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,1,1,1,0,51,0,57,0
AMAD02301,5,2002,Austria,35.6,10.96813567,0,0,0,0,0,0,0.8,4,0,0,AMAD,0,0,0.8,0,0,1,2000,2,12,6814,1.4,3,1,0.894427191,55,0,11,0
AMAD02302,8,2002,Austria,34.25,5.41822322,0,0,0,0,0,0,0.5,4,0,0,AMAD,0,1,0.5,0,0.125,1,2000,2,12,6814,1.375,3,1,0.744023809,52.22222222,8.333333333,17,18
AMAD02303,10,2002,France,34.6,8.208396785,2,0,0,0,0,0,0.9,9,0,0,AMAD,0,3,0.9,0.2,0.3,0.888888889,2000,2,12,6814,1.4,3,1,0.699205899,64.46153846,15.3167413,64.92307692,9.358254275
AMAD02304,4,2002,Austria,34.5,3.785938897,0,0,0,0,0,0,0.5,2,0,0,AMAD,0,0,0.5,0,0,1,2000,2,12,6814,1.5,3,1,1,55,0,11,0
AMAD02305,7,2002,Austria,37.14285714,7.946247992,0,0,0,0,0,0,0.142857143,1,0,0,AMAD,0,0,0.142857143,0,0,0.833333333,2000,2,12,6814,1.571428571,3,1,0.786795792,53.375,10.3363091,20.75,19.7538423
AMAD02306,11,2002,Germany,37.90909091,8.734466732,0,0,0,0,0,0,0.636363636,7,0,0,AMAD,1,0,0.636363636,0,0,0.7,2000,2,12,6814,1.454545455,3,1,0.687551651,67.25,0.452267017,34.75,0.452267017
AMAD02309,7,2002,France,30.28571429,1.799470822,0,0,0,0,0,0,1,7,0,0,AMAD,0,2,1,0,0.285714286,1,2000,2,12,6814,1,1,1,0,71,0,68,0
AMAD02310,12,2002,Poland,39.08333333,9.258493234,0,0,0,0,0,0,0.75,9,0,0,AMAD,0,4,0.75,0,0.333333333,0.818181818,2000,2,12,6814,3.833333333,22,1,6.833518105,NA,NA,NA,NA
AMAD02311,3,2002,USA,35.33333333,7.094598885,0,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,3,6,1,2.645751311,NA,NA,NA,NA
AMAD02313,5,2002,USA,36.4,2.701851217,0,0,0,0,0,0,1,5,0,0,AMAD,0,0,1,0,0,0.75,2000,2,12,6814,2.4,8,1,3.130495168,NA,NA,NA,NA
AMAD02314,3,2002,Italy,40.66666667,4.618802154,0,0,0,0,0,0,0.333333333,1,0,0,AMAD,0,0,0.333333333,0,0,0.5,2000,2,12,6814,1,1,1,0,55.4,23.61778991,55.8,8.408329204
AMAD02315,3,2002,USA,37.33333333,2.081665999,0,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD02318,5,2002,USA,50.4,7.861297603,0,0,0,0,0,0,1,5,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,2.8,9,1,3.492849839,NA,NA,NA,NA
AMAD02319,3,2002,Australia,34,5.196152423,0,0,0,0,0,0,0.666666667,0,0,0,AMAD,0,0,0,0,0,0.5,2000,2,12,6814,3,7,1,3.464101615,NA,NA,NA,NA
AMAD02320,17,2002,UK,38.64705882,13.61956853,0,0,0,0,0,0,0.647058824,11,0,0,AMAD,0,2,0.647058824,0,0.117647059,0.375,2000,2,12,6814,3.470588235,33,1,7.690234449,NA,NA,NA,NA
AMAD02321,25,2002,USA,40.12,11.92448461,0,0,0,0,0,0,0.56,14,0,0,AMAD,0,0,0.56,0,0,0.541666667,2000,2,12,6814,1.68,10,1,1.842100251,NA,NA,NA,NA
AMAD02403,7,2002,USA,38.57142857,5.940177968,0,0,0,0,0,0,0.428571429,3,0,0,AMAD,0,0,0.428571429,0,0,1,2000,2,12,6814,2.571428571,10,1,3.309438163,NA,NA,NA,NA
AMAD02404,6,2002,UK,38,9.252026805,0,0,0,0,0,0,0.666666667,4,0,0,AMAD,1,2,0.666666667,0,0.333333333,0.4,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD02405,3,2002,France,37.66666667,4.932882862,1,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,0,0.666666667,0.333333333,0,0.5,2000,2,12,6814,6.666666667,11,4,3.785938897,72.66666667,2.886751346,62,10.39230485
AMAD03101,5,2003,Russia,42.8,3.962322551,0,0,0,0,0,0,1,5,0,0,AMAD,0,1,1,0,0.2,1,2000,2,12,6814,1.8,5,1,1.788854382,39,0,93,0
AMAD03102,5,2003,Georgia,38,9.460443964,0,0,0,0,0,0,1,5,0,0,AMAD,0,1,1,0,0.2,0.75,2000,2,12,6814,3.8,5,1,1.643167673,7.8,17.44133022,18.6,41.59086438
AMAD03104,4,2003,New Zealand,35.75,5.315072906,0,0,0,0,0,0,0.5,0,0,0,AMAD,0,0,0,0,0,0.333333333,2000,2,12,6814,2,5,1,2,NA,NA,NA,NA
AMAD03105,5,2003,Switzerland,33.2,4.604345773,0,0,0,0,0,0,0.8,4,0,0,AMAD,0,1,0.8,0,0.2,1,2000,2,12,6814,1.2,2,1,0.447213595,61.66666667,15.51343504,39.16666667,12.655697
AMAD03107,4,2003,USA,36.5,8.544003745,0,0,0,0,0,0,0.25,1,0,0,AMAD,0,0,0.25,0,0,0.666666667,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD03108,8,2003,Australia,34.125,4.642582409,0,0,0,0,0,0,0.875,7,0,0,AMAD,0,2,0.875,0,0.25,0.857142857,2000,2,12,6814,1.25,3,1,0.707106781,80.55555556,20.68278941,40.66666667,10.0871205
AMAD03301,6,2003,Spain,33,6.957010852,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,0,0.833333333,0,0,1,2000,2,12,6814,1,1,1,0,51,0,57,0
AMAD03302,6,2003,Russia,38.16666667,5.419102017,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,0,0.833333333,0,0,0.4,2000,2,12,6814,1.666666667,5,1,1.632993162,23.66666667,19.1171825,61.83333333,47.89745992
AMAD03303,9,2003,UK,36.44444444,7.160850353,0,0,0,0,0,0,0.222222222,2,0,0,AMAD,0,3,0.222222222,0,0.333333333,1,2000,2,12,6814,1.111111111,2,1,0.333333333,NA,NA,NA,NA
AMAD03305,5,2003,Germany,37,6.557438524,1,0,0,0,0,0,0.4,2,0,0,AMAD,0,1,0.4,0.2,0.2,0.5,2000,2,12,6814,1.6,3,1,0.894427191,53,16.60321254,36.71428571,22.10365193
AMAD03306,8,2003,Poland,44,7.425823668,0,0,0,0,0,0,0.875,7,0,0,AMAD,0,1,0.875,0,0.125,0.857142857,2000,2,12,6814,4,23,1,7.690439334,NA,NA,NA,NA
AMAD03307,11,2003,Germany,41.90909091,6.171783299,0,0,0,0,1,0,0.727272727,8,0,0,AMAD,0,2,0.727272727,0,0.181818182,1,2000,2,12,6814,2.181818182,10,1,2.676497032,61.30769231,13.8947509,39.61538462,11.26601424
AMAD03308,3,2003,Italy,50.33333333,8.504900548,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,0,0.666666667,0,0,1,2000,2,12,6814,1.666666667,2,1,0.577350269,64.5,23,53.75,7.5
AMAD03309,5,2003,UK,31.6,4.393176527,0,0,0,0,0,0,0.8,4,0,0,AMAD,0,0,0.8,0,0,1,2000,2,12,6814,1.4,2,1,0.547722558,NA,NA,NA,NA
AMAD03310,4,2003,USA,40.75,10.81280106,1,0,0,0,0,0,0.75,3,0,0,AMAD,0,1,0.75,0.25,0.25,0.666666667,2000,2,12,6814,1.75,4,1,1.5,NA,NA,NA,NA
AMAD03312,9,2003,USA,47.55555556,9.514608651,0,0,0,0,0,0,0.444444444,4,0,0,AMAD,0,0,0.444444444,0,0,0.5,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD03313,4,2003,USA,37.75,3.685557398,0,0,0,0,0,0,0.75,3,0,0,AMAD,0,2,0.75,0,0.5,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD03314,7,2003,USA,36.14285714,3.287784027,0,0,0,0,0,0,0.285714286,2,0,0,AMAD,0,7,0.285714286,0,1,1,2000,2,12,6814,1.142857143,2,1,0.377964473,NA,NA,NA,NA
AMAD03316,4,2003,USA,41.75,14.31491064,0,0,0,0,0,0,0.75,3,0,0,AMAD,0,0,0.75,0,0,1,2000,2,12,6814,2,5,1,2,NA,NA,NA,NA
AMAD03318,3,2003,Japan,52.66666667,15.37313674,0,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,2,3,1,1,42,8,56.75,5.5
AMAD03319,3,2003,USA,29.66666667,2.516611478,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,1,0.666666667,0,0.333333333,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD03320,8,2003,Japan,48.5,13.04935685,0,0,0,0,0,0,0.875,7,0,0,AMAD,0,1,0.875,0,0.125,1,2000,2,12,6814,1.5,5,1,1.414213562,40.66666667,7.877855423,57.66666667,5.416025603
AMAD03321,9,2003,USA,32.66666667,4.663689527,0,0,0,0,0,0,0.777777778,7,0,0,AMAD,0,0,0.777777778,0,0,0.25,2000,2,12,6814,1.777777778,5,1,1.56347192,NA,NA,NA,NA
AMAD03322,5,2003,Mexico,39.6,6.426507605,0,0,0,0,0,0,0.4,2,0,0,AMAD,1,1,0.4,0,0.2,0.25,2000,2,12,6814,2.4,5,1,1.949358869,NA,NA,NA,NA
AMAD03323,3,2003,Canada,36.66666667,8.96288644,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,0,0.666666667,0,0,0,2000,2,12,6814,1.666666667,3,1,1.154700538,NA,NA,NA,NA
AMAD03325,4,2003,USA,40.25,6.551081336,0,0,0,0,0,0,1,4,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,1.25,2,1,0.5,NA,NA,NA,NA
AMAD03327,3,2003,Australia,28.66666667,3.214550254,0,0,0,0,0,0,1,3,0,0,AMAD,0,1,1,0,0.333333333,0.5,2000,2,12,6814,1,1,1,0,58.16666667,31.11537669,48.16666667,19.13548188
AMAD03328,23,2003,USA,36.65217391,10.92789881,1,0,0,0,0,0,0.608695652,14,0,0,AMAD,0,4,0.608695652,0.043478261,0.173913043,0.363636364,2000,2,12,6814,1.956521739,13,1,2.836102653,NA,NA,NA,NA
AMAD03401,6,2003,Russia,31.66666667,9.352361556,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,1,0.833333333,0,0.166666667,1,2000,2,12,6814,2.333333333,7,1,2.338090389,39,0,93,0
AMAD03402,6,2003,UK,40.33333333,5.680375574,0,0,0,0,0,0,0.666666667,4,0,0,AMAD,0,2,0.666666667,0,0.333333333,0.4,2000,2,12,6814,2.166666667,4,1,1.169045194,NA,NA,NA,NA
AMAD04101,5,2004,Australia,32.6,7.021395873,1,0,0,0,0,0,0.2,0,0,0,AMAD,0,0,0,0.2,0,0,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD04105,4,2004,Spain,40.25,7.5,0,0,0,0,0,0,0.75,3,0,0,AMAD,0,0,0.75,0,0,1,2000,2,12,6814,7.5,19,2,7.85281266,51,0,57,0
AMAD04108,4,2004,Ukraine,39.75,6.238322424,0,0,0,0,0,0,0.75,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,2.5,7,1,3,25,0,92,0
AMAD04109,6,2004,Portugal,32.83333333,5.913261931,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,0,0.833333333,0,0,1,2000,2,12,6814,3.166666667,10,1,3.371448749,27,0,63,0
AMAD04110,16,2004,Russia,43.9375,8.078520904,0,0,0,0,0,0,0.5625,9,0,0,AMAD,1,0,0.5625,0,0,0.933333333,2000,2,12,6814,3.8125,18,1,4.339258769,NA,NA,NA,NA
AMAD04302,4,2004,Canada,43.5,8.544003745,0,0,0,0,0,0,1,0,0,0,AMAD,0,0,0,0,0,0,2000,2,12,6814,1.25,2,1,0.5,NA,NA,NA,NA
AMAD04304,3,2004,USA,46.33333333,14.84362939,0,0,0,0,0,0,0.333333333,1,0,0,AMAD,0,0,0.333333333,0,0,1,2000,2,12,6814,3.333333333,6,1,2.516611478,NA,NA,NA,NA
AMAD04305,7,2004,USA,34.28571429,4.990467103,0,0,0,0,0,0,1,7,0,0,AMAD,0,0,1,0,0,0.833333333,2000,2,12,6814,2.571428571,9,1,2.878491669,NA,NA,NA,NA
AMAD04306,9,2004,USA,46.11111111,10.10500426,0,0,0,0,0,0,0.444444444,4,0,0,AMAD,0,3,0.444444444,0,0.333333333,1,2000,2,12,6814,1.555555556,4,1,1.130388331,NA,NA,NA,NA
AMAD04307,7,2004,Canada,41.14285714,12.03368289,0,0,0,0,0,0,0.285714286,2,0,0,AMAD,0,0,0.285714286,0,0,0.833333333,2000,2,12,6814,2.714285714,12,1,4.111540089,68.375,21.60646398,45.625,12.27002736
AMAD04311,4,2004,Spain,36.5,6.454972244,0,0,0,0,0,0,0.25,1,0,0,AMAD,0,0,0.25,0,0,1,2000,2,12,6814,1.75,4,1,1.5,51,0,57,0
AMAD04312,6,2004,Switzerland,48.66666667,13.82268667,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,2,0.833333333,0,0.333333333,1,2000,2,12,6814,3.5,9,1,3.209361307,58.5,17.5905819,41.75,14.35021155
AMAD04313,5,2004,New Zealand,30,6.08276253,0,0,0,0,0,0,1,5,0,0,AMAD,0,0,1,0,0,0,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD04314,4,2004,Spain,34,7.615773106,0,0,0,0,0,0,0.25,1,0,0,AMAD,0,0,0.25,0,0,1,2000,2,12,6814,1.25,2,1,0.5,51,0,57,0
AMAD04315,3,2004,Netherlands,34,3.605551275,0,0,0,0,0,0,0.333333333,0,0,0,AMAD,0,1,0,0,0.333333333,1,2000,2,12,6814,1,1,1,0,80,0,38,0
AMAD04316,8,2004,Switzerland,39.625,9.179752564,0,0,0,0,0,0,0.5,4,0,0,AMAD,1,2,0.5,0,0.25,0.714285714,2000,2,12,6814,1.375,3,1,0.744023809,57.45454545,17.63725396,42.63636364,14.36852621
AMAD04317,4,2004,S Korea,34.75,11.08677891,0,0,0,0,0,0,0,0,0,0,AMAD,0,1,0,0,0.25,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD04319,5,2004,Germany,33,5.099019514,0,0,0,0,0,0,1,5,0,0,AMAD,0,2,1,0,0.4,0.5,2000,2,12,6814,1.2,2,1,0.447213595,58.71428571,19.93919328,52.14285714,16.03567451
AMAD04320,8,2004,France,40.125,11.30660363,1,0,0,0,0,0,0.625,5,0,0,AMAD,0,1,0.625,0.125,0.125,1,2000,2,12,6814,1.125,2,1,0.353553391,57.33333333,20.18700452,67,1.477097892
AMAD04321,9,2004,Germany,44,10.65363788,0,0,0,0,0,0,0.111111111,1,0,0,AMAD,0,0,0.111111111,0,0,0.5,2000,2,12,6814,1.444444444,4,1,1.013793755,64.55555556,5.433946796,29.44444444,10.46555196
AMAD04325,3,2004,Austria,42.33333333,19.60442127,1,0,0,0,0,0,1,3,0,0,AMAD,0,0,1,0.333333333,0,1,2000,2,12,6814,1,1,1,0,48.75,12.5,24.5,27
